LapNumber,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
28.0,28.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.716,128.7170000000001,14.740999999999985,46.728999999999814,1,0.0,0.0,0.0,0.0,0.0,0.0,40.724,2,2,0
29.0,29.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.919,130.279,14.942000000000007,48.077000000000226,1,0.0,0.0,0.0,0.0,0.0,0.0,130.643,2,2,0
30.0,30.0,11.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.794,132.04100000000017,15.36200000000008,49.659999999999854,1,0.0,0.0,0.0,0.0,0.0,0.0,220.437,2,2,0
31.0,31.0,11.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.245,133.59100000000035,15.757000000000062,51.672000000000025,1,0.0,0.0,0.0,0.0,0.0,0.0,309.682,2,2,0
32.0,32.0,11.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.032,134.82299999999987,15.9699999999998,53.940000000000055,1,0.0,0.0,0.0,0.0,0.0,0.0,398.714,2,2,0
42.0,9.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,87.505,119.9409999999998,30.292999999999665,42.931000000000495,1,0.0,0.0,0.0,0.0,0.0,0.0,1602.231,2,2,0
43.0,10.0,14.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,84.901,121.76100000000042,30.597000000000662,49.086999999999534,1,0.0,0.0,0.0,0.0,0.0,0.0,1687.132,2,2,0
46.0,46.0,13.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.78,124.14099999999962,30.542999999999665,104.67399999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,1981.781,2,2,0
52.0,52.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,95.008,192.15700000000015,29.134000000000015,5.520000000000437,1,0.0,0.0,0.0,0.0,0.0,0.0,2739.187,2,2,0
53.0,53.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,91.398,191.7460000000001,28.61499999999978,5.488000000000284,1,0.0,0.0,0.0,0.0,0.0,0.0,2830.585,2,2,0
54.0,54.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.562,189.80099999999948,28.590000000000146,5.416000000000167,1,0.0,0.0,0.0,0.0,0.0,0.0,2921.147,2,2,0
55.0,55.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.602,190.35199999999986,28.89099999999962,6.097999999999956,1,0.0,0.0,0.0,0.0,0.0,0.0,3011.749,2,2,0
56.0,56.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.149,189.942,26.74200000000019,8.175000000000182,1,0.0,0.0,0.0,0.0,0.0,0.0,3099.898,2,2,0
57.0,57.0,12.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.65,189.07499999999982,25.44799999999941,10.07800000000043,1,0.0,0.0,0.0,0.0,0.0,0.0,3188.548,2,2,0
8.0,8.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,98.959,82.27499999999986,28.59699999999998,22.751999999999953,1,0.0,0.0,0.0,0.0,0.0,0.0,1785.719,8,7,0
9.0,9.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.51,84.14699999999993,28.86499999999978,24.68100000000004,1,0.0,0.0,0.0,0.0,0.0,0.0,1882.229,8,7,0
10.0,10.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.044,87.06099999999992,28.801999999999907,26.250999999999976,1,0.0,0.0,0.0,0.0,0.0,0.0,1977.273,8,7,0
11.0,11.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.99,89.86200000000008,29.492999999999938,26.434999999999945,1,0.0,0.0,0.0,0.0,0.0,0.0,2072.263,8,7,0
12.0,12.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.989,93.07300000000009,31.22700000000009,25.50999999999999,1,0.0,0.0,0.0,0.0,0.0,0.0,2167.252,8,7,0
13.0,13.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.064,95.81899999999996,32.27399999999989,25.761999999999944,1,0.0,0.0,0.0,0.0,0.0,0.0,2261.316,8,7,0
14.0,14.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.018,100.04199999999992,34.299999999999955,24.361000000000104,1,0.0,0.0,0.0,0.0,0.0,0.0,2356.334,8,7,0
15.0,15.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.611,103.42699999999991,35.14799999999991,24.251999999999953,1,0.0,0.0,0.0,0.0,0.0,0.0,2449.945,8,7,0
16.0,16.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.856,107.33100000000013,36.25499999999988,24.310999999999922,1,0.0,0.0,0.0,0.0,0.0,0.0,2543.801,8,7,0
17.0,17.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.817,111.88400000000001,38.24199999999996,24.06899999999996,1,0.0,0.0,0.0,0.0,0.0,0.0,2638.618,8,7,0
