LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
26.0,281.0,286.0,26.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.293,0.0,22.609999999999673,-59.889000000000124,,1,0.0,0.0,0.0,0.0,0.0,0.0,3423.626,0,0,0
27.0,282.0,283.0,27.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,89.731,0.0,23.090999999999894,-61.223999999999705,,1,0.0,0.0,0.0,0.0,0.0,0.0,3513.357,0,0,0
28.0,283.0,286.0,28.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.411,0.0,23.4050000000002,-62.521999999999935,,1,0.0,0.0,0.0,0.0,0.0,0.0,2.381,0,0,0
29.0,283.0,289.0,29.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.043,0.0,24.090999999999894,-63.51000000000022,,1,0.0,0.0,0.0,0.0,0.0,0.0,91.424,0,0,0
30.0,282.0,292.0,30.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.237,0.0,24.29599999999982,-65.45700000000033,,1,0.0,0.0,0.0,0.0,0.0,0.0,179.661,0,0,0
31.0,284.0,288.0,31.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.127,0.0,24.728000000000065,-67.41200000000026,,1,0.0,0.0,0.0,0.0,0.0,0.0,267.788,0,0,0
32.0,283.0,287.0,32.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.208,0.0,25.135999999999967,-69.69599999999991,,1,0.0,0.0,0.0,0.0,0.0,0.0,355.996,0,0,0
33.0,282.0,288.0,33.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.046,0.0,25.687000000000353,-92.30099999999993,,0,1.0,0.0,0.0,0.0,0.0,0.0,444.042,0,0,0
35.0,253.0,177.0,1.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,124.508,0.0,33.072000000000116,-88.36799999999994,,0,0.0,0.0,0.0,0.0,1.0,0.0,697.148,0,0,0
36.0,123.0,247.0,2.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,116.334,0.0,12.522999999999683,-71.40000000000009,,0,0.0,0.0,0.0,0.0,1.0,0.0,813.482,0,0,0
