LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf,mode,predicted_base_pace,delta
18.0,280.0,271.0,18.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.169,0.0,14.219000000000053,-53.062999999999874,,1,0.0,0.0,0.0,0.0,0.0,0.0,2695.07,0,0,0,2,93.19847041127575,-1.029470411275753
19.0,280.0,273.0,19.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.939,0.0,15.606999999999973,-54.62000000000012,,1,0.0,0.0,0.0,0.0,0.0,0.0,2787.009,0,0,0,2,93.03062554629693,-1.0916255462969389
20.0,279.0,275.0,20.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.598,0.0,16.49499999999989,-55.57099999999991,,1,0.0,0.0,0.0,0.0,0.0,0.0,2878.607,0,0,0,2,92.7927580985405,-1.194758098540504
21.0,279.0,272.0,21.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.177,0.0,17.437999999999647,-56.4060000000004,,1,0.0,0.0,0.0,0.0,0.0,0.0,2969.784,0,0,0,2,92.6013627388244,-1.4243627388243993
22.0,281.0,279.0,22.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.04,0.0,18.17800000000034,-56.93299999999999,,1,0.0,0.0,0.0,0.0,0.0,0.0,3060.824,0,0,0,2,92.38621351092542,-1.3462135109254092
23.0,280.0,276.0,23.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.686,0.0,18.942000000000007,-58.03999999999997,,1,0.0,0.0,0.0,0.0,0.0,0.0,3151.51,0,0,0,2,92.2656370916152,-1.5796370916151972
24.0,281.0,275.0,24.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.978,0.0,20.23299999999972,-58.44200000000001,,1,0.0,0.0,0.0,0.0,0.0,0.0,3242.488,0,0,0,2,92.01555276532669,-1.0375527653266943
25.0,281.0,278.0,25.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.845,0.0,21.47700000000032,-58.97699999999986,,1,0.0,0.0,0.0,0.0,0.0,0.0,3333.333,0,0,0,2,92.1646036917852,-1.319603691785204
26.0,281.0,286.0,26.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.293,0.0,22.609999999999676,-59.88900000000013,,1,0.0,0.0,0.0,0.0,0.0,0.0,3423.626,0,0,0,2,92.31700180977721,-2.0240018097772037
27.0,282.0,283.0,27.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,89.731,0.0,23.09099999999989,-61.223999999999705,,1,0.0,0.0,0.0,0.0,0.0,0.0,3513.357,0,0,0,2,92.14242931055945,-2.4114293105594555
28.0,283.0,286.0,28.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.411,0.0,23.4050000000002,-62.521999999999935,,1,0.0,0.0,0.0,0.0,0.0,0.0,2.381,0,0,0,2,91.0428681088777,-1.631868108877697
29.0,283.0,289.0,29.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.043,0.0,24.09099999999989,-63.51000000000022,,1,0.0,0.0,0.0,0.0,0.0,0.0,91.424,0,0,0,2,90.99197467844382,-1.9489746784438182
30.0,282.0,292.0,30.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.237,0.0,24.29599999999982,-65.45700000000033,,1,0.0,0.0,0.0,0.0,0.0,0.0,179.661,0,0,0,2,90.94122115441844,-2.7042211544184482
31.0,284.0,288.0,31.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.127,0.0,24.728000000000065,-67.41200000000026,,1,0.0,0.0,0.0,0.0,0.0,0.0,267.788,0,0,0,2,90.68196893024243,-2.5549689302424383
32.0,283.0,287.0,32.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.208,0.0,25.135999999999967,-69.69599999999991,,1,0.0,0.0,0.0,0.0,0.0,0.0,355.996,0,0,0,2,90.69951911372367,-2.491519113723669
33.0,282.0,288.0,33.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.046,0.0,25.687000000000356,-92.30099999999992,,0,1.0,0.0,0.0,0.0,0.0,0.0,444.042,0,0,0,2,90.70497222752633,-2.65897222752632
34.0,282.0,288.0,34.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,128.598,18.659,32.01200000000017,-110.51399999999968,,0,0.0,0.0,0.0,1.0,0.0,0.0,572.64,0,0,0,0,90.68530576991584,19.25369423008417
35.0,253.0,177.0,1.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,124.508,0.0,33.07200000000012,-88.36799999999994,,0,0.0,0.0,0.0,0.0,1.0,0.0,697.148,0,0,0,0,104.7302592455806,19.777740754419398
36.0,123.0,247.0,2.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,116.334,0.0,12.522999999999683,-71.40000000000009,,0,0.0,0.0,0.0,0.0,1.0,0.0,813.482,0,0,0,0,89.10202666684948,27.23197333315052
37.0,199.0,160.0,3.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,116.334,0.0,0.0,-86.80699999999979,,0,0.0,0.0,0.0,0.0,1.0,0.0,976.316,0,0,0,0,89.18265354627479,27.15134645372521
38.0,235.0,248.0,4.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,137.91,0.0,0.0,-88.12800000000016,,0,0.0,0.0,0.0,0.0,1.0,0.0,1114.226,0,0,0,0,89.39884184912971,48.51115815087029
39.0,236.0,201.0,5.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,132.714,0.0,0.0,-87.39399999999978,,0,0.0,0.0,0.0,0.0,1.0,0.0,1246.94,0,0,0,0,89.42417382171637,43.28982617828363
40.0,238.0,245.0,6.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,131.498,0.0,0.0,-87.72500000000036,,0,0.0,0.0,0.0,0.0,1.0,0.0,1378.438,0,0,0,0,89.48193436506756,42.01606563493243
41.0,289.0,200.0,7.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,132.004,0.0,0.0,-83.2470000000003,,0,0.0,0.0,0.0,0.0,0.0,1.0,1510.442,0,0,0,0,89.72837441189695,42.27562558810304
42.0,291.0,282.0,8.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,85.317,0.0,0.0,-85.07600000000002,,1,0.0,0.0,0.0,0.0,0.0,0.0,1595.759,0,0,0,2,89.72385664957564,-4.406856649575644
43.0,293.0,297.0,9.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,83.081,0.0,0.0,-86.1890000000003,,1,0.0,0.0,0.0,0.0,0.0,0.0,1678.84,0,0,0,2,89.67518618974808,-6.594186189748072
44.0,286.0,298.0,10.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,86.789,0.0,0.0,-87.65200000000004,,0,1.0,0.0,0.0,0.0,0.0,0.0,1765.629,0,0,0,2,89.9710493342966,-3.182049334296593
45.0,281.0,277.0,11.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,92.874,0.0,0.0,-90.76100000000042,,0,0.0,0.0,1.0,0.0,0.0,0.0,1858.503,0,0,0,0,90.32913193226327,2.5448680677367292
46.0,281.0,266.0,12.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,112.606,18.82,0.0,-79.13299999999981,,1,0.0,0.0,0.0,0.0,0.0,0.0,1971.109,0,0,0,0,90.54725344008736,3.2387465599126344
47.0,257.0,224.0,47.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,127.213,0.0,0.0,-52.89800000000014,,0,0.0,1.0,0.0,0.0,0.0,0.0,2098.322,0,0,0,0,91.27665124212352,35.93634875787647
48.0,168.0,192.0,48.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,122.406,0.0,5.899999999999636,-46.77800000000025,,0,0.0,0.0,0.0,0.0,1.0,0.0,2220.728,0,0,0,0,91.2824603888093,31.123539611190708
49.0,249.0,181.0,49.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,144.892,0.0,50.35199999999986,-44.44999999999982,,0,0.0,0.0,0.0,0.0,1.0,0.0,2365.62,0,0,0,0,91.76974539835332,53.122254601646674
50.0,252.0,127.0,50.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,142.085,0.0,68.70499999999993,-42.46600000000035,,0,0.0,0.0,0.0,0.0,1.0,0.0,2507.705,0,0,0,0,92.11318644465213,49.97181355534788
51.0,285.0,135.0,51.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,133.879,0.0,78.30899999999929,-35.642000000000735,,0,0.0,0.0,0.0,0.0,0.0,1.0,2641.584,0,0,0,0,92.25297146415582,41.62602853584417
52.0,286.0,244.0,52.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,93.864,0.0,74.94900000000052,-39.586999999999534,,1,0.0,0.0,0.0,0.0,0.0,0.0,2735.448,0,0,0,0,92.48089188157523,1.3831081184247722
53.0,286.0,273.0,53.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,90.859,0.0,73.9989999999998,-43.56400000000031,,1,0.0,0.0,0.0,0.0,0.0,0.0,2826.307,0,0,0,1,91.6573619874818,-0.7983619874818118
54.0,287.0,273.0,54.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.1,0.0,70.59199999999964,-46.82700000000023,,1,0.0,0.0,0.0,0.0,0.0,0.0,2915.407,0,0,0,2,91.21082878711023,-2.1108287871102362
55.0,299.0,284.0,55.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.538,0.0,69.07899999999972,-50.18000000000029,,1,0.0,0.0,0.0,0.0,0.0,0.0,3003.945,0,0,0,2,91.21394305794608,-2.6759430579460854
56.0,300.0,280.0,56.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,87.921,0.0,68.4409999999998,-53.78300000000036,,1,0.0,0.0,0.0,0.0,0.0,0.0,3091.866,0,0,0,2,90.90979119659235,-2.988791196592345
57.0,287.0,293.0,57.0,2.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,87.4,0.0,66.32400000000052,-57.89399999999932,,1,0.0,0.0,0.0,0.0,0.0,0.0,3179.266,0,0,0,2,90.72230135000439,-3.3223013500043805
1.0,182.0,186.0,1.0,12.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,0.0,45.015,45.015,-37.87700000000001,0,0.0,1.0,0.0,0.0,0.0,0.0,786.632,1,1,0,0,110.9029946775511,23.2290053224489
2.0,182.0,195.0,2.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,14.98,34.066,-19.861999999999966,-2.4979999999999905,0,0.0,0.0,0.0,0.0,1.0,0.0,958.007,1,1,0,0,96.88096138703692,22.271038612963086
3.0,182.0,189.0,3.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,15.838,51.09899999999999,-29.79299999999995,-3.747000000000014,0,0.0,0.0,0.0,0.0,1.0,0.0,1120.972,1,1,0,0,97.33439494637145,20.959605053628557
4.0,182.0,194.0,4.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,14.732,68.132,-39.72399999999993,-4.995999999999981,0,0.0,0.0,0.0,0.0,1.0,0.0,1275.419,1,1,0,0,97.10120212827725,22.298797871722755
5.0,198.0,204.0,5.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,141.36,0.0,65.84400000000005,-36.67999999999995,-4.583999999999946,0,0.0,0.0,0.0,0.0,1.0,0.0,1416.779,1,1,0,0,96.87961401826325,44.48038598173676
6.0,217.0,222.0,6.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,139.952,0.0,65.37300000000005,-37.70399999999995,-4.118000000000052,0,0.0,0.0,0.0,0.0,1.0,0.0,1556.731,1,1,0,0,97.07466019197032,42.877339808029674
