orig_index,LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Circuit_Name,Circuit_CircuitLength,Circuit_Number_of_Laps,Circuit_NumberOfTurns,Circuit_AverageAngleAbs,Circuit_AverageAngle,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf,status_24,mode,NewStint,StintID,pred,actual,residual
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,0.4478967487812042,-0.34137895703315735,-0.7892757058143616
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,1.6759408712387085,0.5519183874130249,-1.1240224838256836
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,2.0916571617126465,4.019683837890625,1.9280266761779785
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,0.7624832391738892,-0.040513165295124054,-0.8029964044690132
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,1.2833620309829712,0.7833536267280579,-0.5000084042549133
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,0.5003436803817749,-0.07977195829153061,-0.5801156386733055
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,1.0280388593673706,0.7937185168266296,-0.23432034254074097
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,0.5212801694869995,0.018197549507021904,-0.5030826199799776
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,1.2854055166244507,0.8364559412002563,-0.44894957542419434
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,0.32691091299057007,-0.15828955173492432,-0.4852004647254944
0,0.0,3.0,0.0,1.454488277118606,-0.2118165154450632,-0.3065685455036522,0,1.136744419297901,1.031214291528619,-0.7831068656961921,Barcelona,-0.2210856850130932,0.3241383437330169,-0.9205775083525156,2.135144237457561,-1.923315165798472,-0.3413789427269907,-2.439635917296551,-1.3797411395367216,-1.3808987584502077,1,0,0.0,0.0,0.0,0.0,-1.4995243743134854,0,0,0,0.0,2,True,1,0.6624529361724854,0.7572283744812012,0.09477543830871582
