LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,PitDuration,Driver_idx,Team_idx,dnf
24.0,281.0,275.0,24.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.978,13.353999999999814,11.478999999999814,8.697999999999865,1,0.0,0.0,0.0,0.0,0.0,0.0,3242.488,0,0,0,0
25.0,281.0,278.0,25.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.845,14.597999999999956,13.028999999999996,8.34100000000035,1,0.0,0.0,0.0,0.0,0.0,0.0,3333.333,0,0,0,0
26.0,281.0,286.0,26.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.293,15.730999999999767,14.18899999999985,8.159000000000106,1,0.0,0.0,0.0,0.0,0.0,0.0,3423.626,0,0,0,0
27.0,282.0,283.0,27.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,89.731,16.21199999999999,14.883000000000266,8.290999999999713,1,0.0,0.0,0.0,0.0,0.0,0.0,3513.357,0,0,0,0
28.0,283.0,286.0,28.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.411,16.526000000000295,15.664999999999964,8.575999999999567,1,0.0,0.0,0.0,0.0,0.0,0.0,2.381,0,0,0,0
29.0,283.0,289.0,29.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,89.043,17.21199999999999,16.519999999999982,9.021000000000186,1,0.0,0.0,0.0,0.0,0.0,0.0,91.424,0,0,0,0
30.0,282.0,292.0,30.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.237,17.416999999999916,16.42599999999993,10.572999999999865,1,0.0,0.0,0.0,0.0,0.0,0.0,179.661,0,0,0,0
31.0,284.0,288.0,31.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.127,17.84900000000016,16.636999999999716,11.48700000000008,1,0.0,0.0,0.0,0.0,0.0,0.0,267.788,0,0,0,0
32.0,283.0,287.0,32.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.208,18.257000000000062,15.465999999999894,12.639999999999873,1,0.0,0.0,0.0,0.0,0.0,0.0,355.996,0,0,0,0
33.0,282.0,288.0,33.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,88.046,18.807999999999993,15.285999999999603,15.14700000000039,0,1.0,0.0,0.0,0.0,0.0,0.0,444.042,0,0,0,0
36.0,123.0,247.0,2.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,116.334,5.643999999999778,2.707999999999629,12.11200000000008,0,0.0,0.0,0.0,0.0,1.0,0.0,813.482,0,0,0,0
37.0,199.0,160.0,3.0,,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,976.316,0,0,0,0
38.0,235.0,248.0,4.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,137.91,2.5340000000001055,1.7260000000001128,12.473999999999705,0,0.0,0.0,0.0,0.0,1.0,0.0,1114.226,0,0,0,0
39.0,236.0,201.0,5.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,132.714,1.5540000000000873,0.6599999999998545,12.543999999999869,0,0.0,0.0,0.0,0.0,1.0,0.0,1246.94,0,0,0,0
40.0,238.0,245.0,6.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,131.498,0.0,-0.8579999999997199,12.41399999999976,0,0.0,0.0,0.0,0.0,1.0,0.0,1378.438,0,0,0,0
41.0,289.0,200.0,7.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,132.004,0.0,-2.407000000000153,11.623999999999796,0,0.0,0.0,0.0,0.0,0.0,1.0,1510.442,0,0,0,0
42.0,291.0,282.0,8.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,85.317,0.0,-1.6729999999997744,12.545999999999822,1,0.0,0.0,0.0,0.0,0.0,0.0,1595.759,0,0,0,0
