oes LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Circuit_Name,Circuit_CircuitLength,Circuit_Number_of_Laps,Circuit_NumberOfTurns,Circuit_AverageAngleAbs,Circuit_AverageAngle,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf,mode
0.0,7,0.0,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,1.9940539797039087,-2.4730169942608544,-1.6161217957758611,-1.615596745483719,0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8023871993828512,0,0,0,2
0.0714285714285714,7,0.0714285714285714,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,4.315907097081733,-0.7499400871676803,1.0438773326711448,0.559264267276293,0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2042898536019257,0,0,0,0
0.0892857142857142,7,0.0892857142857142,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,3.936713593376513,-0.7527935776711988,1.0394722581088054,0.4782822742423653,0,0.0,0.0,0.0,0.0,1.0,0.0,-0.071882882616436,0,0,0,0
0.1071428571428571,7,0.1071428571428571,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,3.6292360797525847,-0.8114206477303165,0.9489667475197636,0.5180605273378639,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0574835083931811,0,0,0,0
0.125,7,0.125,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,-0.1691227157694534,-0.8657986921305282,0.8650206682032969,0.3495201201965315,1,0.0,0.0,0.0,0.0,0.0,0.0,0.149288734169206,0,0,0,0
0.1428571428571428,7,0.1428571428571428,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,-0.4102533508689795,-0.820118046682847,0.9355401421614944,0.4334289330186783,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2387094701917791,0,0,0,0
0.1607142857142857,7,0.1607142857142857,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,-0.5698885426943112,-0.8465057387324234,0.8948041555292937,0.4828935464727873,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3265516076300596,0,0,0,0
0.1785714285714285,7,0.1785714285714285,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,-0.5887763101355069,-0.804472439608408,0.959693040392973,0.4869361874429379,1,0.0,0.0,0.0,0.0,0.0,0.0,0.414206967938547,0,0,0,0
0.1964285714285714,7,0.1964285714285714,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,-0.6714222773147489,-0.7840094598917678,0.9912827552731504,0.3925404355994301,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5010450597907816,0,0,0,0
0.2142857142857142,7,0.2142857142857142,-1.1593834854876313,0.8112636356684203,0.3898943580250564,0,-1.335101388891947,0.9111820148212576,2.72229643314531,Melbourne,-1.032491804344855,1.114351943000424,-0.8541438297923761,-0.9061219665909293,1.0793064472967866,-0.70210291478268,-0.7984456184725882,0.9689969425592616,0.330967500989372,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5875797573205093,0,0,0,0
