LapNumber,Compound,TyreLife,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Circuit_Name,Circuit_CircuitLength,Circuit_Number_of_Laps,Circuit_NumberOfTurns,Circuit_AverageAngleAbs,Circuit_AverageAngle,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
0.07547169811320754,7,0.125,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,0.5423896423223976,-1.9091348019913792,0.29754024429188636,-0.4575249262178936,1,0.0,0.0,0.0,0.0,0.0,0.0,0.07985721408380617,0,0,0
0.09433962264150943,7,0.14285714285714285,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-0.19550891537489862,-1.8356542651268766,0.3994947606618025,-0.33222153484983136,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1689099635835599,0,0,0
0.11320754716981131,7,0.1607142857142857,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-0.6840182985025297,-1.8781007270674985,0.34060013790271426,-0.25835463565239425,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2563906107886938,0,0,0
0.13207547169811318,7,0.17857142857142858,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-0.7418179071969111,-1.810487203756924,0.4344141512911472,-0.2523176461323895,1,0.0,0.0,0.0,0.0,0.0,0.0,0.343685249494104,0,0,0
0.15094339622641512,7,0.19642857142857142,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-0.9947278701134423,-1.7775710590595317,0.48008542366594126,-0.39328147864185914,1,0.0,0.0,0.0,0.0,0.0,0.0,0.43016598298752445,0,0,0
0.169811320754717,7,0.21428571428571427,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-1.0886155593631957,-1.8007926373096619,0.4478653980528471,-0.4852300745477214,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5163445706945914,0,0,0
0.18867924528301888,7,0.23214285714285715,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-1.274043745631464,-1.8067007416177052,0.439667881498221,-0.4522835279094218,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6019264204736106,0,0,0
0.20754716981132076,7,0.25,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-1.3652908436210678,-1.8265226888239288,0.4121648565183258,-0.4783398020316614,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6872146223165175,0,0,0
0.22641509433962265,7,0.26785714285714285,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-1.287833499990021,-1.8135250365012556,0.43019914713525553,-0.4736577304178252,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7727520944331662,0,0,0
0.24528301886792453,7,0.2857142857142857,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-0.4663162190546623,-1.7350475822059155,0.5390869049013371,-0.43360709571556366,1,0.0,0.0,0.0,0.0,0.0,0.0,0.8609333421804067,0,0,0
0.32075471698113206,7,0.35714285714285715,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-1.1161950680803097,-1.0748128652541953,-1.138994121608995,2.157384198168124,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2073463188513311,0,0,0
0.33962264150943394,7,0.375,-1.314138458905139,0.7832670999204676,0.5418892835082805,0,-1.4213519696122774,0.7611027194936547,2.349857690456089,Melbourne,-1.1155053636747099,1.2000857038531876,-0.9826591590645471,-0.7013753798453112,0.9249332148291723,-1.1563907350403613,-1.0120832939737274,-0.5855639678735736,2.154026444409416,1,0.0,0.0,0.0,0.0,0.0,0.0,1.2933067950688744,0,0,0
